location,date,price
Adjala-Tosorontio,2015-07-01,510000.0
Adjala-Tosorontio,2015-08-01,499700.0
Adjala-Tosorontio,2015-09-01,506400.0
Adjala-Tosorontio,2015-10-01,491100.0
Adjala-Tosorontio,2015-11-01,516000.0
Adjala-Tosorontio,2015-12-01,533400.0
Adjala-Tosorontio,2016-01-01,539800.0
Adjala-Tosorontio,2016-02-01,518500.0
Adjala-Tosorontio,2016-03-01,528400.0
Adjala-Tosorontio,2016-04-01,545100.0
Adjala-Tosorontio,2016-05-01,546900.0
Adjala-Tosorontio,2016-06-01,563200.0
Adjala-Tosorontio,2016-07-01,579200.0
Adjala-Tosorontio,2016-08-01,585600.0
Adjala-Tosorontio,2016-09-01,596900.0
Adjala-Tosorontio,2016-10-01,606500.0
Adjala-Tosorontio,2016-11-01,610100.0
Adjala-Tosorontio,2016-12-01,628900.0
Adjala-Tosorontio,2017-01-01,641300.0
Adjala-Tosorontio,2017-02-01,672500.0
Adjala-Tosorontio,2017-03-01,697700.0
Adjala-Tosorontio,2017-04-01,718600.0
Adjala-Tosorontio,2017-05-01,719000.0
Adjala-Tosorontio,2017-06-01,718000.0
Adjala-Tosorontio,2017-07-01,700800.0
Adjala-Tosorontio,2017-08-01,704400.0
Adjala-Tosorontio,2017-09-01,716200.0
Adjala-Tosorontio,2017-10-01,685500.0
Adjala-Tosorontio,2017-11-01,666200.0
Adjala-Tosorontio,2017-12-01,650900.0
Adjala-Tosorontio,2018-01-01,666200.0
Adjala-Tosorontio,2018-02-01,655700.0
Adjala-Tosorontio,2018-03-01,680700.0
Adjala-Tosorontio,2018-04-01,666800.0
Adjala-Tosorontio,2018-05-01,671300.0
Adjala-Tosorontio,2018-06-01,647600.0
Adjala-Tosorontio,2018-07-01,632200.0
Adjala-Tosorontio,2018-08-01,670700.0
Adjala-Tosorontio,2018-09-01,675200.0
Adjala-Tosorontio,2018-10-01,672500.0
Adjala-Tosorontio,2018-11-01,641200.0
Adjala-Tosorontio,2018-12-01,646400.0
Adjala-Tosorontio,2019-01-01,645200.0
Adjala-Tosorontio,2019-02-01,657800.0
Adjala-Tosorontio,2019-03-01,675200.0
Adjala-Tosorontio,2019-04-01,669200.0
Adjala-Tosorontio,2019-05-01,681600.0
Adjala-Tosorontio,2019-06-01,694800.0
Adjala-Tosorontio,2019-07-01,675200.0
Adjala-Tosorontio,2019-08-01,672200.0
Adjala-Tosorontio,2019-09-01,667400.0
Adjala-Tosorontio,2019-10-01,675200.0
Adjala-Tosorontio,2019-11-01,705000.0
Adjala-Tosorontio,2019-12-01,692700.0
Adjala-Tosorontio,2020-01-01,703200.0
Adjala-Tosorontio,2020-02-01,701100.0
Adjala-Tosorontio,2020-03-01,717700.0
Adjala-Tosorontio,2020-04-01,726400.0
Adjala-Tosorontio,2020-05-01,731900.0
Adjala-Tosorontio,2020-06-01,744800.0
Adjala-Tosorontio,2020-07-01,771600.0
Adjala-Tosorontio,2020-08-01,788400.0
Adjala-Tosorontio,2020-09-01,795400.0
Adjala-Tosorontio,2020-10-01,822100.0
Adjala-Tosorontio,2020-11-01,842300.0
Adjala-Tosorontio,2020-12-01,879000.0
Adjala-Tosorontio,2021-01-01,898300.0
Adjala-Tosorontio,2021-02-01,957900.0
Adjala-Tosorontio,2021-03-01,978300.0
Ajax,2015-07-01,444300.0
Ajax,2015-08-01,445800.0
Ajax,2015-09-01,451700.0
